Star 	Constellation 	Rightascension 	Declination 	App.mag. 	Distance (ly) 	Spectraltype 	Planet 	"Mass
(MJ) "	"Radius
(RJ) "	"Orbitalperiod
(d) "	"Semi-majoraxis
(AU) "	Orbitaleccentricity 	"Inclination
(°) "	"Discovery
year "	Ref 
CoRoT-1	Monoceros	 06h 48m 19s	−03° 06′ 08″	13.6	1560	G0V 	b	1.03	1.49	1.5089557	0.0254	0	85.1	2007	[103] 
CoRoT-2	Aquila	 19h 27m 07s	+01° 23′ 02″	12.57	930	G7V 	b	3.31	1.465	1.7429964	0.0281	0	87.84	2007	[104] 
CoRoT-3	Aquila	 19h 28m 13.265s	+00° 07′ 18.62″	13.3	2200	F3V 	b	21.66	1.01	4.2568	0.057	0	85.9	2008	[105] 
CoRoT-4	Monoceros	 06h 48m 47s	−00° 40′ 22″	13.7		F0V 	b	0.72	1.19	9.20205	0.09	0	90	2008	[106] 
CoRoT-5	Monoceros	 06h 45mm 07ss	+00° 48′ 55″	14	1304	F9V 	b	0.459	1.28	4.0384	0.04947	0.09	85.83	2008	[107] 
CoRoT-6	Ophiuchus	 18h 44m 17.42s	+06° 39′ 47.95″	13.9		F5V 	b	3.3	1.16	8.89	0.0855	< 0.1	89.07	2009	[108] 
CoRoT-7	Monoceros	 06h 43m 49.0s	−01° 03′ 46.0″	11.668	489	G9V 	b	0.0151	0.15	0.853585	0.0172	0	80.1	2009	[109] 
CoRoT-8	Aquila	 19h 26m 21s	+01° 25′ 36″	14.8	1239	K1V 	b	0.22	0.57	6.21229	0.063	0	88.4	2010	[110] 
CoRoT-9	Serpens	 18h 43m 09s	+06° 12′ 15″	13.7	1500	G3V 	b	0.84	1.05	95.2738	0.407	0.11	>89.9	2010	[111] 
CoRoT-10	Aquila	 19h 24m 15s	+00° 44 ′ 46″	15.22	1125	K1V 	b	2.75	0.97	13.2406	0.1055	0.53	88.55	2010	[112] 
CoRoT-11	Serpens	 18h 42m 45s	+05° 56′ 16″	12.94	1826	F6V 	b	2.33	1.43	2.99433	0.0436	0	83.17	2010	[113] 
CoRoT-12	Monoceros	 06h 43m 04s	−01° 17′ 47″	15.52	3750	G2V 	b	0.917	1.44	2.828042	0.04016	0.07	85.48	2010	[114] 
CoRoT-13	Monoceros	 06h 50m 53s	−05° 05′ 11″	15.04	4272	G0V 	b	1.308	0.885	4.03519	0.051	0	88.02	2010	[115] 
CoRoT-14	Monoceros	 06h 53m 42s	−05° 32′ 10″	16.03	4370	F9V 	b	7.58	1.09	1.51215	0.027	0	79.6	2010	[116] 
CoRoT-16	Scutum	 18h 34m 06s	−06° 00′ 09″	15.63	2740	G5V 	b	0.535	1.17	5.3523	0.0618	0.33	85.01	2011	[117] 
CoRoT-17	Scutum	 18h 34m 47s	−06° 36′ 44 ″	15.46	3001	G2V 	b	2.43	1.02	3.768125	0.0461	0	88.34	2011	[118] 
CoRoT-18	Monoceros	 06h 32m 41s	−00° 01′ 54″	14.99	2838	G9 	b	3.47	1.31	1.9000693	0.0295	<0.08	86.5	2011	[119] 
CoRoT-19	Monoceros	 06h 28m 08s	−00° 01′ 01″	14.78	2510	F9V 	b	1.11	1.45	3.89713	0.0518	0.047	87.61	2011	[120] 
CoRoT-20	Monoceros	 06h 30m 53s	+00° 13′ 37″	14.66	4012	G2V 	b	4.24	0.84	9.24	0.0902	0.562	88.21	2011	[121] 
CoRoT-21	Monoceros			16		F8IV 	b	2.26	1.3	2.72474	0.0417	0	86.8	2011	[122] 
CoRoT-22	Serpens	 18h 42m 40s	+06° 13′ 08″	11.93	2052	G0IV 	b	< 0.15	0.52	9.7566	0.094	< 0.6	89.4	2011	
CoRoT-23	Serpens	 18h 39m 08s	+04° 21′ 28″	15.63	1956	G0V 	b	2.8	1.05	3.6314	0.0477	0.16	85.7	2011	[123] 
CoRoT-24	Monoceros	 06h 47m 41s	−03° 43′ 09″		4413		b	< 0.1	0.236	5.1134				2011	
CoRoT-24	Monoceros	 06h 47m 41s	−03° 43′ 09″		4413		c	0.173	0.38	11.749				2011	
CoRoT-25							b								
CoRoT-26							b								
CoRoT-27					4413	G2 	b	10.39±0.55	1.01±0.04	3.58	0.048	<0.065		2013	[124][125] 
CoRoT-28							b	0.484±0.087	0.9550±0.0660						
CoRoT-29							b								
CoRoT-30				15.65		G3V 	b	0.84 (± 0.34)	1.02 (± 0.08)	9.06005 (± 0.00024)	0.084 (± 0.001)	0.007 (+0.031 -0.007)	90.0 (± 0.56)	2017	[126] 
CoRoT-31				15.7		G2IV 	b	2.84 (± 0.22)	1.46 (± 0.3)	4.62941 (± 0.00075)	1.46 (± 0.3)	0.02 (+0.16 -0.02)	83.2 (± 2.3)	2017	[127] 
CoRoT-33							b								
